party,hhi_band,seats_won
All India Trinamool Congress,Fragmented,1
All India United Democratic Front,Competitive,2
Asom Gana Parishad,Competitive,4
Asom Gana Parishad,Dominant,5
Asom Gana Parishad,Fragmented,1
Bharatiya Janata Party,Competitive,18
Bharatiya Janata Party,Dominant,63
Bharatiya Janata Party,Fragmented,1
Bodoland Peoples Front,Competitive,5
Bodoland Peoples Front,Dominant,1
Bodoland Peoples Front,Fragmented,4
Indian National Congress,Competitive,6
Indian National Congress,Dominant,11
Indian National Congress,Fragmented,2
Raijor Dal,Competitive,2
