CONSTITUENCY,STATE,NO_OF_CANDIDATES
SURAT,GUJARAT,1
DIBRUGARH,ASSAM,4
BARDOLI,GUJARAT,4
NAGALAND,NAGALAND,4
LADAKH,LADAKH,4
JORHAT,ASSAM,5
"OUTER MANIPUR",MANIPUR,5
TURA,MEGHALAYA,5
NABARANGPUR,ODISHA,5
KARAULI-DHOLPUR,RAJASTHAN,5
KAISERGANJ,"UTTAR PRADESH",5
LAKSHADWEEP,LAKSHADWEEP,5
DIPHU,ASSAM,6
MAHARAJGANJ,BIHAR,6
SHIMLA,"HIMACHAL PRADESH",6
ALATHUR,KERALA,6
KHARGONE,"MADHYA PRADESH",6
DAUSA,RAJASTHAN,6
"DADAR & NAGAR HAVELI","DADRA & NAGAR HAVELI AND DAMAN & DIU",6
"ARUNACHAL EAST","ARUNACHAL PRADESH",7
MAHESANA,GUJARAT,7
"AHMEDABAD WEST",GUJARAT,7
"CHHOTA UDAIPUR",GUJARAT,7
"INNER MANIPUR",MANIPUR,7
SHILLONG,MEGHALAYA,7
MIZORAM,MIZORAM,7
BHARATPUR,RAJASTHAN,7
NAGINA,"UTTAR PRADESH",7
RAMPUR,"UTTAR PRADESH",7
BULANDSHAHR,"UTTAR PRADESH",7
JALAUN,"UTTAR PRADESH",7
DOMARIYAGANJ,"UTTAR PRADESH",7
PURNIA,BIHAR,8
JAMUI,BIHAR,8
ANAND,GUJARAT,8
VALSAD,GUJARAT,8
IDUKKI,KERALA,8
ATTINGAL,KERALA,8
BHIND,"MADHYA PRADESH",8
TIKAMGARH,"MADHYA PRADESH",8
DHAR,"MADHYA PRADESH",8
BARGARH,ODISHA,8
PURI,ODISHA,8
ASKA,ODISHA,8
JHALAWAR-BARAN,RAJASTHAN,8
BAGHPAT,"UTTAR PRADESH",8
FIROZABAD,"UTTAR PRADESH",8
ETAWAH,"UTTAR PRADESH",8
DEORIA,"UTTAR PRADESH",8
LALGANJ,"UTTAR PRADESH",8
VARANASI,"UTTAR PRADESH",8
RANAGHAT,"WEST BENGAL",8
GHATAL,"WEST BENGAL",8
BISHNUPUR,"WEST BENGAL",8
"BARDHAMAN PURBA","WEST BENGAL",8
ASANSOL,"WEST BENGAL",8
KHUNTI,JHARKHAND,8
ALMORA,UTTARAKHAND,8
"DAMAN & DIU","DADRA & NAGAR HAVELI AND DAMAN & DIU",8
"ARUNACHAL WEST","ARUNACHAL PRADESH",9
GUWAHATI,ASSAM,9
SILCHAR,ASSAM,9
SONITPUR,ASSAM,9
"PASCHIM CHAMPARAN",BIHAR,9
MADHEPURA,BIHAR,9
DARBHANGA,BIHAR,9
NAWADA,BIHAR,9
"NORTH GOA",GOA,9
"SOUTH GOA",GOA,9
AMRELI,GUJARAT,9
PANCHMAHAL,GUJARAT,9
BIJAPUR,KARNATAKA,9
RAICHUR,KARNATAKA,9
MALAPPURAM,KERALA,9
PONNANI,KERALA,9
PATHANAMTHITTA,KERALA,9
DEWAS,"MADHYA PRADESH",9
MANDSOUR,"MADHYA PRADESH",9
BETUL,"MADHYA PRADESH",9
SUNDARGARH,ODISHA,9
BHADRAK,ODISHA,9
KANDHAMAL,ODISHA,9
JHUNJHUNU,RAJASTHAN,9
UDAIPUR,RAJASTHAN,9
BANSWARA,RAJASTHAN,9
MEERUT,"UTTAR PRADESH",9
MAINPURI,"UTTAR PRADESH",9
SITAPUR,"UTTAR PRADESH",9
UNNAO,"UTTAR PRADESH",9
"RAE BARELI","UTTAR PRADESH",9
FARRUKHABAD,"UTTAR PRADESH",9
"AMBEDKAR NAGAR","UTTAR PRADESH",9
GONDA,"UTTAR PRADESH",9
MAHARAJGANJ,"UTTAR PRADESH",9
BANSGAON,"UTTAR PRADESH",9
BARDHAMAN-DURGAPUR,"WEST BENGAL",9
BOLPUR,"WEST BENGAL",9
LAKHIMPUR,ASSAM,10
ARARIA,BIHAR,10
KATIHAR,BIHAR,10
AURANGABAD,BIHAR,10
RAJKOT,GUJARAT,10
DAHOD,GUJARAT,10
"DAKSHINA KANNADA",KARNATAKA,10
KASARAGOD,KERALA,10
WAYANAD,KERALA,10
THRISSUR,KERALA,10
MAVELIKKARA,KERALA,10
UJJAIN,"MADHYA PRADESH",10
"RATNAGIRI- SINDHUDURG",MAHARASHTRA,10
GANGANAGAR,RAJASTHAN,10
BIKANER,RAJASTHAN,10
ALWAR,RAJASTHAN,10
NAGAUR,RAJASTHAN,10
NAGAPATTINAM,"TAMIL NADU",10
"TRIPURA WEST",TRIPURA,10
"TRIPURA EAST",TRIPURA,10
"FATEHPUR SIKRI","UTTAR PRADESH",10
AONLA,"UTTAR PRADESH",10
MISRIKH,"UTTAR PRADESH",10
SULTANPUR,"UTTAR PRADESH",10
AKBARPUR,"UTTAR PRADESH",10
BASTI,"UTTAR PRADESH",10
"KUSHI NAGAR","UTTAR PRADESH",10
AZAMGARH,"UTTAR PRADESH",10
SALEMPUR,"UTTAR PRADESH",10
TAMLUK,"WEST BENGAL",10
KANTHI,"WEST BENGAL",10
MEDINIPUR,"WEST BENGAL",10
KANKER,CHHATTISGARH,10
PALAMAU,JHARKHAND,10
"VALMIKI NAGAR",BIHAR,11
JHANJHARPUR,BIHAR,11
BEGUSARAI,BIHAR,11
BANKA,BIHAR,11
SASARAM,BIHAR,11
PATAN,GUJARAT,11
KANGRA,"HIMACHAL PRADESH",11
MANDI,"HIMACHAL PRADESH",11
BELLARY,KARNATAKA,11
"UDUPI CHIKMAGALUR",KARNATAKA,11
VADAKARA,KERALA,11
PALAKKAD,KERALA,11
ERNAKULAM,KERALA,11
SHAHDOL,"MADHYA PRADESH",11
GADCHIROLI,MAHARASHTRA,11
DINDORI,MAHARASHTRA,11
PALGHAR,MAHARASHTRA,11
DHENKANAL,ODISHA,11
BOLANGIR,ODISHA,11
CUTTACK,ODISHA,11
KENDRAPARA,ODISHA,11
RAJSAMAND,RAJASTHAN,11
BHILWARA,RAJASTHAN,11
SAHARANPUR,"UTTAR PRADESH",11
HATHRAS,"UTTAR PRADESH",11
ETAH,"UTTAR PRADESH",11
PILIBHIT,"UTTAR PRADESH",11
SHAHJAHANPUR,"UTTAR PRADESH",11
LUCKNOW,"UTTAR PRADESH",11
JHANSI,"UTTAR PRADESH",11
