STATE,CONSTITUENCY,WINNER,WINNER_PARTY,WINNER_VOTES,RUNNER_UP,RUNNER_UP_PARTY,RUNNER_UP_VOTES,VOTE_DIFFERENCE
MAHARASHTRA,"MUMBAI NORTH WEST","RAVINDRA DATTARAM WAIKAR","Shiv Sena",452644,"AMOL GAJANAN KIRTIKAR","Shiv Sena (Uddhav Balasaheb Thackrey)",452596,48
KERALA,ATTINGAL,"ADV ADOOR PRAKASH","Indian National Congress",328051,"V JOY","Communist Party of India  (Marxist)",327367,684
ODISHA,JAJPUR,"RABINDRA NARAYAN BEHERA","Bharatiya Janata Party",534239,"SARMISTHA SETHI","Biju Janata Dal",532652,1587
RAJASTHAN,"JAIPUR RURAL","RAO RAJENDRA SINGH","Bharatiya Janata Party",617877,"ANIL CHOPRA","Indian National Congress",616262,1615
CHHATTISGARH,KANKER,"BHOJRAJ NAG","Bharatiya Janata Party",597624,"BIRESH THAKUR","Indian National Congress",595740,1884
CHANDIGARH,CHANDIGARH,"MANISH TEWARI","Indian National Congress",216657,"SANJAY TANDON","Bharatiya Janata Party",214153,2504
"UTTAR PRADESH",HAMIRPUR,"AJENDRA SINGH LODHI","Samajwadi Party",490683,"KUNWAR PUSHPENDRA SINGH CHANDEL","Bharatiya Janata Party",488054,2629
LAKSHADWEEP,LAKSHADWEEP,"MUHAMMED HAMDULLAH SAYEED","Indian National Congress",25726,"MOHAMMED FAIZAL PP","Nationalist Congress Party – Sharadchandra Pawar",23079,2647
"UTTAR PRADESH",FARRUKHABAD,"MUKESH RAJPUT","Bharatiya Janata Party",487963,"DR. NAVAL KISHOR SHAKYA","Samajwadi Party",485285,2678
"UTTAR PRADESH",BANSGAON,"KAMLESH PASWAN","Bharatiya Janata Party",428693,"SADAL PRASAD","Indian National Congress",425543,3150
PUNJAB,FIROZPUR,"SHER SINGH GHUBAYA","Indian National Congress",266626,"JAGDEEP SINGH KAKA BRAR","Aam Aadmi Party",263384,3242
"UTTAR PRADESH",SALEMPUR,"RAMASHANKAR RAJBHAR","Samajwadi Party",405472,"RAVINDAR KUSHAWAHA","Bharatiya Janata Party",401899,3573
MAHARASHTRA,DHULE,"BACHHAV SHOBHA DINESH","Indian National Congress",583866,"BHAMRE SUBHASH RAMRAO","Bharatiya Janata Party",580035,3831
"UTTAR PRADESH",PHULPUR,"PRAVEEN PATEL","Bharatiya Janata Party",452600,"AMAR NATH SINGH MAURYA","Samajwadi Party",448268,4332
"TAMIL NADU",VIRUDHUNAGAR,"MANICKAM TAGORE B","Indian National Congress",385256,"VIJAYAPRABHAKARAN V","Desiya Murpokku Dravida Kazhagam",380877,4379
"UTTAR PRADESH",DHAURAHRA,"ANAND BHADAURIYA","Samajwadi Party",443743,"REKHA VERMA","Bharatiya Janata Party",439294,4449
TELANGANA,MAHBUBNAGAR,"ARUNA. D. K","Bharatiya Janata Party",510747,"CHALLA VAMSHI CHAND REDDY","Indian National Congress",506247,4500
"WEST BENGAL",BISHNUPUR,"KHAN SAUMITRA","Bharatiya Janata Party",680130,"SUJATA MONDAL","All India Trinamool Congress",674563,5567
"DADRA & NAGAR HAVELI AND DAMAN & DIU","DAMAN & DIU","PATEL UMESHBHAI BABUBHAI",Independent,42523,"LALUBHAI BABUBHAI PATEL","Bharatiya Janata Party",36298,6225
"WEST BENGAL",ARAMBAGH,"BAG MITALI","All India Trinamool Congress",712587,"ARUP KANTI DIGAR","Bharatiya Janata Party",706188,6399
MAHARASHTRA,BEED,"BAJRANG MANOHAR SONWANE","Nationalist Congress Party – Sharadchandra Pawar",683950,"PANKAJA GOPINATHRAO MUNDE","Bharatiya Janata Party",677397,6553
"WEST BENGAL",BALURGHAT,"SUKANTA MAJUMDAR","Bharatiya Janata Party",574996,"BIPLAB MITRA","All India Trinamool Congress",564610,10386
"UTTAR PRADESH",MEERUT,"ARUN GOVIL","Bharatiya Janata Party",546469,"SUNITA VERMA","Samajwadi Party",535884,10585
PUNJAB,"ANANDPUR SAHIB","MALVINDER SINGH KANG","Aam Aadmi Party",313217,"VIJAY INDER SINGLA","Indian National Congress",302371,10846
KERALA,MAVELIKKARA,"KODIKUNNIL SURESH","Indian National Congress",369516,"ADV ARUN KUMAR C A","Communist Party of India",358648,10868
MAHARASHTRA,HATKANANGALE,"DHAIRYASHEEL SAMBHAJIRAO MANE","Shiv Sena",520190,"SATYAJEET BABASAHEB PATIL (AABA) SARUDKAR","Shiv Sena (Uddhav Balasaheb Thackrey)",506764,13426
GOA,"SOUTH GOA","CAPTAIN  VIRIATO FERNANDES","Indian National Congress",217836,"PALLAVI SHRINIVAS DEMPO","Bharatiya Janata Party",204301,13535
BIHAR,SARAN,"RAJIV PRATAP RUDY","Bharatiya Janata Party",471752,"ROHINI ACHARYA","Rashtriya Janata Dal",458091,13661
"ANDHRA PRADESH",THIRUPATHI,"GURUMOORTHY MADDILA","Yuvajana Sramika Rythu Congress Party",632228,"VARA PRASAD RAO VELAGAPALLI","Bharatiya Janata Party",617659,14569
PUNJAB,PATIALA,"DR DHARAMVIRA GANDHI","Indian National Congress",305616,"DR BALBIR SINGH","Aam Aadmi Party",290785,14831
"UTTAR PRADESH",ALIGARH,"SATISH KUMAR GAUTAM","Bharatiya Janata Party",501834,"BIJENDRA SINGH","Samajwadi Party",486187,15647
"UTTAR PRADESH",AONLA,"NEERAJ MAURYA","Samajwadi Party",492515,"DHARMENDRA KASHYAP","Bharatiya Janata Party",476546,15969
KERALA,THIRUVANANTHAPURAM,"SHASHI THAROOR","Indian National Congress",358155,"RAJEEV CHANDRASEKHAR","Bharatiya Janata Party",342078,16077
MAHARASHTRA,"MUMBAI NORTH CENTRAL","GAIKWAD VARSHA EKNATH","Indian National Congress",445545,"ADV UJWAL NIKAM","Bharatiya Janata Party",429031,16514
"WEST BENGAL",PURULIA,"JYOTIRMAY SINGH MAHATO","Bharatiya Janata Party",578489,"SHANTIRAM MAHATO","All India Trinamool Congress",561410,17079
RAJASTHAN,JHUNJHUNU,"BRIJENDRA SINGH OLA","Indian National Congress",553168,"SHUBHKARAN CHOUDHARY","Bharatiya Janata Party",534933,18235
ASSAM,KARIMGANJ,"KRIPANATH MALLAH","Bharatiya Janata Party",545093,"HAFIZ RASHID AHMED CHOUDHURY","Indian National Congress",526733,18360
BIHAR,SASARAM,"MANOJ KUMAR","Indian National Congress",513004,"SHIVESH KUMAR","Bharatiya Janata Party",493847,19157
MAHARASHTRA,AMRAVATI,"BALWANT BASWANT WANKHADE","Indian National Congress",526271,"NAVNEET RAVI RANA","Bharatiya Janata Party",506540,19731
