losing_party,< 500,< 2500,< 5000,< 10000,< 15000,< 25000,< 50000
All India Anna Dravida Munnetra Kazhagam,1,7,16,26,31,38,43
Amma Makkal Munnettra Kazagam,0,0,0,0,0,1,1
Bharatiya Janata Party,0,1,1,4,6,7,8
Communist Party of India,0,0,0,1,1,1,1
Desiya Murpokku Dravida Kazhagam,1,1,1,2,3,3,3
Dravida Munnetra Kazhagam,3,9,13,22,37,55,73
Indian National Congress,0,0,1,1,4,8,9
Pattali Makkal Katchi,0,0,1,2,3,3,4
Tamilaga Vettri Kazhagam,1,17,28,46,58,68,73
Viduthalai Chiruthaigal Katchi,0,0,0,0,1,3,4
