party,hhi_band,seats_won
All India Anna Dravida Munnetra Kazhagam,Competitive,2
All India Anna Dravida Munnetra Kazhagam,Fragmented,45
Amma Makkal Munnettra Kazagam,Fragmented,1
Bharatiya Janata Party,Fragmented,1
Communist Party of India,Fragmented,2
Communist Party of India (Marxist),Fragmented,2
Desiya Murpokku Dravida Kazhagam,Fragmented,1
Dravida Munnetra Kazhagam,Competitive,2
Dravida Munnetra Kazhagam,Fragmented,57
Indian National Congress,Fragmented,5
Indian Union Muslim League,Fragmented,2
Pattali Makkal Katchi,Fragmented,4
Tamilaga Vettri Kazhagam,Competitive,15
Tamilaga Vettri Kazhagam,Dominant,1
Tamilaga Vettri Kazhagam,Fragmented,92
Viduthalai Chiruthaigal Katchi,Fragmented,2
