Constituency,Party,Candidate,Third Place Vote Pct,Party Avg Vote Pct,Overperformance Pct,Total Candidates,Margin Votes
MEHRAULI,Independent,BALYOGI BABA BALAKNATH,8.39,0.23,8.16,9,1782
SANGAM VIHAR,Indian National Congress,HARSH CHOUDHARY,12.62,6.69,5.93,12,344
DELHI CANTT,Indian National Congress,PRADEEP KUMAR UPMANYU,8.96,6.69,2.27,8,2029
JANGPURA,Indian National Congress,FARHAD SURI,8.60,6.69,1.91,10,675
SADAR BAZAR,Indian National Congress,ANIL BHARDWAJ,8.49,6.69,1.80,12,6307
MALVIYA NAGAR,Indian National Congress,JITENDER KUMAR KOCHAR,7.96,6.69,1.27,8,2131
NEW DELHI,Indian National Congress,SANDEEP DIKSHIT,7.41,6.69,0.72,24,4089
AMBEDKAR NAGAR,Indian National Congress,JAI PRAKASH,7.38,6.69,0.69,10,4230
TIMARPUR,Indian National Congress,LOKENDRA KALYAN SINGH,6.88,6.69,0.19,13,1168
GREATER KAILASH,Indian National Congress,GARVIT SINGHVI,6.46,6.69,-0.23,7,3188
KONDLI,Indian National Congress,AKSHAY KUMAR,5.62,6.69,-1.07,10,6293
TRILOKPURI,Indian National Congress,AMARDEEP,4.87,6.69,-1.82,8,392
DWARKA,Indian National Congress,ADARSH SHASTRI,4.86,6.69,-1.83,14,7829
KAROL BAGH,Indian National Congress,RAHUL KUMAR,4.14,6.69,-2.55,7,7430
RAJINDER NAGAR,Indian National Congress,VINEET YADAV,4.13,6.69,-2.56,8,1231
