party,seats_participated,seats_won,success_ratio
None of the Above,140,,
Bahujan Samaj Party,55,,
Aam Aadmi Party,53,,
Social Democratic Party Of India,34,,
Socialist Unity Centre Of India (COMMUNIST),30,,
Bharath Dharma Jana Sena,22,,
Twenty 20 Party,19,,
Kerala Congress (M),12,,
Democratic Human Rights Movement Party,9,,
Communist Party of India (Marxist-Leninist) Red Star,4,,
Communist Party of India (Marxist-Leninist) (Liberation),3,,
Janam Rashtriya Party,3,,
Nationalist Congress Party - Sharadchandra Pawar,3,,
Ambedkarite Party of India,2,,
Equality Party of India,2,,
All India Hindustan Congress Party,1,,
Congress (Secular),1,,
Indian Gandhiyan Party,1,,
Indian National League,1,,
Indian Socialist Janata Dal,1,,
Kerala Congress (B),1,,
Kerala Revolutionary Socialist Party (Leninist- Marxist),1,,
Nationalist Congress Party,1,,
Bharatheeya Jawan Kisan Party,1,,
Rashtravadi Janata Party,1,,
Republican Party of India (Athawale),1,,
Bahujan Dravida Party,1,,
Socialist Party (India),1,,
Socialist Republican Party,1,,
The Future India Party,1,,
Kerala Congress (Jacob),1,1,100.00000000000000000000
Revolutionary Marxist Party of India,1,1,100.00000000000000000000
Communist Marxist Party Kerala State Committee,1,1,100.00000000000000000000
Kerala Congress,8,7,87.50000000000000000000
Indian Union Muslim League,26,22,84.61538461538461538500
Revolutionary Socialist Party,4,3,75.00000000000000000000
Indian National Congress,92,63,68.47826086956521739100
Communist Party of India (Marxist),77,26,33.76623376623376623400
Communist Party of India,24,8,33.33333333333333333300
Rashtriya Janata Dal,3,1,33.33333333333333333300
Independent,106,4,3.77358490566037735800
Bharatiya Janata Party,98,3,3.06122448979591836700
