losing_party,< 500,< 2500,< 5000,< 10000,< 15000,< 25000,< 50000
Bharatiya Janata Party,0,0,0,0,3,5,6
Communist Party of India,0,2,3,5,6,9,15
Communist Party of India (Marxist),1,2,6,17,25,39,46
Congress (Secular),0,0,0,0,0,1,1
Independent,0,0,0,2,4,5,13
Indian National Congress,1,4,8,14,18,25,25
Indian National League,0,0,0,0,1,1,1
Indian Socialist Janata Dal,0,0,0,1,1,1,1
Indian Union Muslim League,1,3,3,3,3,4,4
Kerala Congress,0,0,0,0,0,1,1
Kerala Congress (B),0,0,0,1,1,1,1
Kerala Congress (M),0,0,2,5,5,7,12
Kerala Revolutionary Socialist Party (Leninist- Marxist),0,0,0,0,0,0,1
Nationalist Congress Party - Sharadchandra Pawar,0,0,0,0,1,2,2
Rashtriya Janata Dal,0,0,0,0,1,1,2
