party,seats_participated,seats_won,success_ratio
Bharatiya Janata Party,98,3,3.06122448979591836700
Independent,106,4,3.77358490566037735800
Communist Party of India,24,8,33.33333333333333333300
Rashtriya Janata Dal,3,1,33.33333333333333333300
Communist Party of India (Marxist),77,26,33.76623376623376623400
Indian National Congress,92,63,68.47826086956521739100
Revolutionary Socialist Party,4,3,75.00000000000000000000
Indian Union Muslim League,26,22,84.61538461538461538500
Kerala Congress,8,7,87.50000000000000000000
Kerala Congress (Jacob),1,1,100.00000000000000000000
Revolutionary Marxist Party of India,1,1,100.00000000000000000000
Communist Marxist Party Kerala State Committee,1,1,100.00000000000000000000
