STATE,CANDIDATE,PARTY,CONSTITUENCY,RUNNER_UP_VOTE_PERCENTAGE
HARYANA,"JAI PARKASH DALAL","Bharatiya Janata Party",LOHARU,48.49
HARYANA,"MANISH KUMAR GROVER","Bharatiya Janata Party",ROHTAK,48.14
HARYANA,"VARINDER SINGH RATHORE","Indian National Congress",GHARAUNDA,47.33
HARYANA,"BHAVYA BISHNOI","Bharatiya Janata Party",ADAMPUR,47.24
HARYANA,"UDAI BHAN","Indian National Congress",HODAL,46.95
HARYANA,"SUBHASH SUDHA","Bharatiya Janata Party",THANESAR,46.67
HARYANA,"GIAN CHAND GUPTA","Bharatiya Janata Party",PANCHKULA,46.55
HARYANA,"DR. ABHE SINGH YADAV","Bharatiya Janata Party","NANGAL CHAUDHRY",46.47
HARYANA,"JAIVEER SINGH","Indian National Congress",KHARKHAUDA,46.12
HARYANA,"VIJAY PRATAP SINGH","Indian National Congress",BADKHAL,45.81
HARYANA,"GOPAL KANDA","Haryana Lokhit Party",SIRSA,45.43
HARYANA,"JAI BHAGWAN SHARMA (DD)","Bharatiya Janata Party",PEHOWA,45.1
HARYANA,"SUBHASH CHAND","Bharatiya Janata Party",SHAHBAD,45.05
HARYANA,"LEELA RAM","Bharatiya Janata Party",KAITHAL,44.82
HARYANA,"MANISHA SANGWAN","Indian National Congress",DADRI,44.7
HARYANA,"ASEEM GOEL NANEOLA","Bharatiya Janata Party","AMBALA CITY",44.26
HARYANA,"CAPT. ABHIMANYU","Bharatiya Janata Party",NARNAUND,43.75
HARYANA,"DEVENDER SINGH BABLI","Bharatiya Janata Party",TOHANA,43.05
HARYANA,"DURA RAM","Bharatiya Janata Party",FATEHABAD,42.98
HARYANA,"JAI BHAGWAN ANTIL","Indian National Congress",RAI,42.75
HARYANA,"KAPTAN BIRDHANA","Bharatiya Janata Party",JHAJJAR,42.7
HARYANA,"DR. M.L. RANGA","Indian National Congress",BAWAL,42.54
HARYANA,"YOGESH KUMAR","Bharatiya Janata Party",JULANA,42.53
HARYANA,"JAGDISH YADAV","Indian National Congress",KOSLI,42.1
HARYANA,"ANIL MAAN","Indian National Congress",NALWA,41.83
HARYANA,"RAKESH KAMBOJ","Indian National Congress",INDRI,41.71
HARYANA,"SANTOSH CHAUHAN SARWAN","Bharatiya Janata Party",MULANA,41.43
HARYANA,"BALBIR SINGH BALMIKI","Indian National Congress",ISRANA,41.37
