STATE,PARTY,SEATS_PARTICIPATED,SEATS_WON,SUCCESS_RATIO
HARYANA,"Bharatiya Janata Party",89,48,53.9326
HARYANA,"Indian National Congress",89,37,41.5730
HARYANA,"Indian National Lok Dal",51,2,3.9216
HARYANA,Independent,87,3,3.4483
HARYANA,"None of the Above",90,NULL,NULL
HARYANA,"Aam Aadmi Party",88,NULL,NULL
HARYANA,"Jannayak Janta Party",66,NULL,NULL
HARYANA,"Bahujan Samaj Party",35,NULL,NULL
HARYANA,"Aazad Samaj Party (Kanshi Ram)",12,NULL,NULL
HARYANA,"Peoples Party of India (Democratic)",12,NULL,NULL
HARYANA,"Bhartiya Shakti Chetna Party",11,NULL,NULL
HARYANA,"Socialist Unity Centre Of India (COMMUNIST)",8,NULL,NULL
HARYANA,"Rashtrawadi Janlok Party (Satya)",7,NULL,NULL
HARYANA,"Jan Sewak Kranti Party",6,NULL,NULL
HARYANA,"Aam Aadmi Parivartan Party",5,NULL,NULL
HARYANA,"Mission Ekta Party",5,NULL,NULL
HARYANA,"Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann)",5,NULL,NULL
HARYANA,"Yuga Thulasi Party",5,NULL,NULL
HARYANA,"Buland Bharat Party",4,NULL,NULL
HARYANA,"Haryana Lokhit Party",4,NULL,NULL
HARYANA,"Rashtriya Garib Dal",4,NULL,NULL
HARYANA,"Republican Party of India (A)",4,NULL,NULL
HARYANA,"Right to Recall Party",4,NULL,NULL
HARYANA,"Bhartiya Kisan Party",3,NULL,NULL
HARYANA,"Haryana Jan Sevak Party",3,NULL,NULL
HARYANA,"Loktanter Suraksha Party",3,NULL,NULL
HARYANA,"Samata Party",3,NULL,NULL
HARYANA,"Akhil Bhartiya Kisan Majdoor Party",2,NULL,NULL
HARYANA,"Bharatiya Asha Party",2,NULL,NULL
HARYANA,"Communist Party of India",2,NULL,NULL
HARYANA,"Indian Praja Congress",2,NULL,NULL
HARYANA,"Liberal Socialist Party",2,NULL,NULL
HARYANA,"Rashtriya Lokswaraj Party",2,NULL,NULL
HARYANA,"Aam Janshakti Party",1,NULL,NULL
HARYANA,"Akhil Bharatiya Socialist Party",1,NULL,NULL
HARYANA,"Akhil Bhartiya Manavatavadi Party",1,NULL,NULL
HARYANA,"Ambedkar Samaj Vikas Party",1,NULL,NULL
HARYANA,"Bahujan Janata Dal (Khodawal)",1,NULL,NULL
HARYANA,"Bahujan Mukti Party",1,NULL,NULL
HARYANA,"Bharat Jan Jagran Dal",1,NULL,NULL
HARYANA,"Bharat Jodo Party",1,NULL,NULL
HARYANA,"Bhartiya Janraj Party",1,NULL,NULL
HARYANA,"Bhartiya Panchyat Party",1,NULL,NULL
HARYANA,"Bhartiya Sarvodaya Party",1,NULL,NULL
HARYANA,"Bhartiya Veer Dal",1,NULL,NULL
HARYANA,"Communist Party of India  (Marxist)",1,NULL,NULL
HARYANA,"Kisan Mazdoor Sangharsh Party",1,NULL,NULL
HARYANA,"Nationalist Congress Party",1,NULL,NULL
HARYANA,"Nationalist Congress Party – Sharadchandra Pawar",1,NULL,NULL
HARYANA,"Nehru Janhit Congress",1,NULL,NULL
HARYANA,"Political Team India",1,NULL,NULL
HARYANA,"Rashtra Nirman Party",1,NULL,NULL
HARYANA,"Rashtravadi Bharat Party",1,NULL,NULL
HARYANA,"Rashtriya Bhagidari Samaj Party",1,NULL,NULL
HARYANA,"Rashtriya Janhit Vikas Party",1,NULL,NULL
HARYANA,"Rashtriya Jatigat Aarakshan Virodhi Party",1,NULL,NULL
HARYANA,"Rashtriya Majdoor Vikas Party",1,NULL,NULL
HARYANA,"Rashtriya Mazdoor Ekta Party",1,NULL,NULL
HARYANA,"Republican Party of India",1,NULL,NULL
HARYANA,"Sanyukt Sangharsh Party",1,NULL,NULL
HARYANA,"Sarva Jan Smaj Party (Nand Kishore Chawla)",1,NULL,NULL
HARYANA,"Veer Lakshya Party",1,NULL,NULL
